q,vr,z,pvalue,ticker
2,0.9447091816812627,-1.4500010515572301,0.14705822598107976,AAPL
5,0.8866477973415796,-3.760150731155092,0.00016981100903579183,AAPL
10,0.8584703657080568,-4.979651348041458,6.369892238122787e-07,AAPL
20,0.8735118358814172,-4.572376554380002,4.822233277135268e-06,AAPL
